ID	Gene Name	Species	GOTERM_BP_DIRECT
SMAD5	SMAD family member 5(SMAD5)	Homo sapiens	GO:0001657~ureteric bud development,GO:0001880~Mullerian duct regression,GO:0002051~osteoblast fate commitment,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007281~germ cell development,GO:0009880~embryonic pattern specification,GO:0030218~erythrocyte differentiation,GO:0030509~BMP signaling pathway,GO:0045669~positive regulation of osteoblast differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0051216~cartilage development,GO:0060048~cardiac muscle contraction,GO:0060348~bone development,GO:0060395~SMAD protein signal transduction,GO:0071407~cellular response to organic cyclic compound,GO:1901522~positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,
SMAD7	SMAD family member 7(SMAD7)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001657~ureteric bud development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0010717~regulation of epithelial to mesenchymal transition,GO:0010719~negative regulation of epithelial to mesenchymal transition,GO:0010801~negative regulation of peptidyl-threonine phosphorylation,GO:0010944~negative regulation of transcription by competitive promoter binding,GO:0017015~regulation of transforming growth factor beta receptor signaling pathway,GO:0022409~positive regulation of cell-cell adhesion,GO:0030336~negative regulation of cell migration,GO:0030509~BMP signaling pathway,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0031397~negative regulation of protein ubiquitination,GO:0031398~positive regulation of protein ubiquitination,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032925~regulation of activin receptor signaling pathway,GO:0033137~negative regulation of peptidyl-serine phosphorylation,GO:0034333~adherens junction assembly,GO:0034616~response to laminar fluid shear stress,GO:0034629~cellular protein complex localization,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048844~artery morphogenesis,GO:0050821~protein stabilization,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0055010~ventricular cardiac muscle tissue morphogenesis,GO:0055117~regulation of cardiac muscle contraction,GO:0060373~regulation of ventricular cardiac muscle cell membrane depolarization,GO:0060389~pathway-restricted SMAD protein phosphorylation,GO:0060394~negative regulation of pathway-restricted SMAD protein phosphorylation,GO:0060412~ventricular septum morphogenesis,GO:0071560~cellular response to transforming growth factor beta stimulus,
SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1(SOS1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0001782~B cell homeostasis,GO:0001942~hair follicle development,GO:0003209~cardiac atrium morphogenesis,GO:0003344~pericardium morphogenesis,GO:0007165~signal transduction,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007264~small GTPase mediated signal transduction,GO:0007265~Ras protein signal transduction,GO:0007296~vitellogenesis,GO:0007411~axon guidance,GO:0008286~insulin receptor signaling pathway,GO:0033081~regulation of T cell differentiation in thymus,GO:0035023~regulation of Rho protein signal transduction,GO:0035264~multicellular organism growth,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0038128~ERBB2 signaling pathway,GO:0042129~regulation of T cell proliferation,GO:0043065~positive regulation of apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0048011~neurotrophin TRK receptor signaling pathway,GO:0048514~blood vessel morphogenesis,GO:0050900~leukocyte migration,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051057~positive regulation of small GTPase mediated signal transduction,GO:0060021~palate development,GO:0061029~eyelid development in camera-type eye,GO:0061384~heart trabecula morphogenesis,GO:1904693~midbrain morphogenesis,GO:2000973~regulation of pro-B cell differentiation,
SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)	Homo sapiens	GO:0007264~small GTPase mediated signal transduction,GO:0035023~regulation of Rho protein signal transduction,GO:0043065~positive regulation of apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051057~positive regulation of small GTPase mediated signal transduction,
SP100	SP100 nuclear antigen(SP100)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000723~telomere maintenance,GO:0006351~transcription, DNA-templated,GO:0006954~inflammatory response,GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,GO:0010596~negative regulation of endothelial cell migration,GO:0016032~viral process,GO:0016925~protein sumoylation,GO:0032526~response to retinoic acid,GO:0032897~negative regulation of viral transcription,GO:0034097~response to cytokine,GO:0034340~response to type I interferon,GO:0034341~response to interferon-gamma,GO:0043392~negative regulation of DNA binding,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045765~regulation of angiogenesis,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046826~negative regulation of protein export from nucleus,GO:0048384~retinoic acid receptor signaling pathway,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051271~negative regulation of cellular component movement,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902044~regulation of Fas signaling pathway,
SP110	SP110 nuclear body protein(SP110)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007165~signal transduction,GO:0016032~viral process,
SPARCL1	SPARC like 1(SPARCL1)	Homo sapiens	GO:0007165~signal transduction,GO:0048856~anatomical structure development,
SPOCK1	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1(SPOCK1)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0001764~neuron migration,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007399~nervous system development,GO:0010812~negative regulation of cell-substrate adhesion,GO:0010951~negative regulation of endopeptidase activity,GO:0010977~negative regulation of neuron projection development,GO:0021953~central nervous system neuron differentiation,GO:0022008~neurogenesis,
SPG7	SPG7, paraplegin matrix AAA peptidase subunit(SPG7)	Homo sapiens	GO:0006508~proteolysis,GO:0007005~mitochondrion organization,GO:0007155~cell adhesion,GO:0007399~nervous system development,GO:0008089~anterograde axonal transport,
SRC	SRC proto-oncogene, non-receptor tyrosine kinase(SRC)	Homo sapiens	GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0007049~cell cycle,GO:0007165~signal transduction,GO:0007172~signal complex assembly,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007229~integrin-mediated signaling pathway,GO:0007417~central nervous system development,GO:0008283~cell proliferation,GO:0009612~response to mechanical stimulus,GO:0009615~response to virus,GO:0010447~response to acidic pH,GO:0010632~regulation of epithelial cell migration,GO:0010634~positive regulation of epithelial cell migration,GO:0010641~positive regulation of platelet-derived growth factor receptor signaling pathway,GO:0010907~positive regulation of glucose metabolic process,GO:0010954~positive regulation of protein processing,GO:0014911~positive regulation of smooth muscle cell migration,GO:0016337~single organismal cell-cell adhesion,GO:0018105~peptidyl-serine phosphorylation,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0022407~regulation of cell-cell adhesion,GO:0030168~platelet activation,GO:0030520~intracellular estrogen receptor signaling pathway,GO:0030900~forebrain development,GO:0031295~T cell costimulation,GO:0031648~protein destabilization,GO:0031667~response to nutrient levels,GO:0031954~positive regulation of protein autophosphorylation,GO:0032148~activation of protein kinase B activity,GO:0032211~negative regulation of telomere maintenance via telomerase,GO:0032463~negative regulation of protein homooligomerization,GO:0032869~cellular response to insulin stimulus,GO:0033146~regulation of intracellular estrogen receptor signaling pathway,GO:0033625~positive regulation of integrin activation,GO:0034332~adherens junction organization,GO:0034446~substrate adhesion-dependent cell spreading,GO:0034614~cellular response to reactive oxygen species,GO:0035556~intracellular signal transduction,GO:0036035~osteoclast development,GO:0036120~cellular response to platelet-derived growth factor stimulus,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038128~ERBB2 signaling pathway,GO:0042127~regulation of cell proliferation,GO:0042493~response to drug,GO:0042542~response to hydrogen peroxide,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043114~regulation of vascular permeability,GO:0043149~stress fiber assembly,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043393~regulation of protein binding,GO:0043406~positive regulation of MAP kinase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045056~transcytosis,GO:0045087~innate immune response,GO:0045124~regulation of bone resorption,GO:0045453~bone resorption,GO:0045737~positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046628~positive regulation of insulin receptor signaling pathway,GO:0046777~protein autophosphorylation,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0048010~vascular endothelial growth factor receptor signaling pathway,GO:0048011~neurotrophin TRK receptor signaling pathway,GO:0048013~ephrin receptor signaling pathway,GO:0048477~oogenesis,GO:0050715~positive regulation of cytokine secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050847~progesterone receptor signaling pathway,GO:0050900~leukocyte migration,GO:0051057~positive regulation of small GTPase mediated signal transduction,GO:0051385~response to mineralocorticoid,GO:0051602~response to electrical stimulus,GO:0051726~regulation of cell cycle,GO:0051895~negative regulation of focal adhesion assembly,GO:0051897~positive regulation of protein kinase B signaling,GO:0051902~negative regulation of mitochondrial depolarization,GO:0051974~negative regulation of telomerase activity,GO:0060065~uterus development,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060491~regulation of cell projection assembly,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070555~response to interleukin-1,GO:0071222~cellular response to lipopolysaccharide,GO:0071375~cellular response to peptide hormone stimulus,GO:0071393~cellular response to progesterone stimulus,GO:0071398~cellular response to fatty acid,GO:0071456~cellular response to hypoxia,GO:0071498~cellular response to fluid shear stress,GO:0071801~regulation of podosome assembly,GO:0071803~positive regulation of podosome assembly,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:0086098~angiotensin-activated signaling pathway involved in heart process,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1900182~positive regulation of protein localization to nucleus,GO:2000394~positive regulation of lamellipodium morphogenesis,GO:2000573~positive regulation of DNA biosynthetic process,GO:2000641~regulation of early endosome to late endosome transport,GO:2000811~negative regulation of anoikis,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,GO:2001286~regulation of caveolin-mediated endocytosis,
SOX1	SRY-box 1(SOX1)	Homo sapiens	GO:0001764~neuron migration,GO:0002089~lens morphogenesis in camera-type eye,GO:0006325~chromatin organization,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0021521~ventral spinal cord interneuron specification,GO:0021884~forebrain neuron development,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
SOX10	SRY-box 10(SOX10)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0001755~neural crest cell migration,GO:0002052~positive regulation of neuroblast proliferation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007422~peripheral nervous system development,GO:0009653~anatomical structure morphogenesis,GO:0014015~positive regulation of gliogenesis,GO:0030318~melanocyte differentiation,GO:0032808~lacrimal gland development,GO:0043066~negative regulation of apoptotic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,GO:0048484~enteric nervous system development,GO:0048546~digestive tract morphogenesis,GO:0048589~developmental growth,GO:0048709~oligodendrocyte differentiation,GO:0061138~morphogenesis of a branching epithelium,GO:0090090~negative regulation of canonical Wnt signaling pathway,
SOX17	SRY-box 17(SOX17)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001525~angiogenesis,GO:0001570~vasculogenesis,GO:0001706~endoderm formation,GO:0001828~inner cell mass cellular morphogenesis,GO:0001947~heart looping,GO:0003142~cardiogenic plate morphogenesis,GO:0003143~embryonic heart tube morphogenesis,GO:0003151~outflow tract morphogenesis,GO:0003308~negative regulation of Wnt signaling pathway involved in heart development,GO:0006355~regulation of transcription, DNA-templated,GO:0007283~spermatogenesis,GO:0007493~endodermal cell fate determination,GO:0021903~rostrocaudal neural tube patterning,GO:0023019~signal transduction involved in regulation of gene expression,GO:0030308~negative regulation of cell growth,GO:0031648~protein destabilization,GO:0035050~embryonic heart tube development,GO:0042074~cell migration involved in gastrulation,GO:0042662~negative regulation of mesodermal cell fate specification,GO:0042789~mRNA transcription from RNA polymerase II promoter,GO:0045597~positive regulation of cell differentiation,GO:0045732~positive regulation of protein catabolic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0045995~regulation of embryonic development,GO:0048617~embryonic foregut morphogenesis,GO:0048643~positive regulation of skeletal muscle tissue development,GO:0048866~stem cell fate specification,GO:0050821~protein stabilization,GO:0060070~canonical Wnt signaling pathway,GO:0060214~endocardium formation,GO:0060807~regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification,GO:0060913~cardiac cell fate determination,GO:0060914~heart formation,GO:0060956~endocardial cell differentiation,GO:0061009~common bile duct development,GO:0061010~gall bladder development,GO:0061031~endodermal digestive tract morphogenesis,GO:0072001~renal system development,GO:0072091~regulation of stem cell proliferation,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:2000035~regulation of stem cell division,GO:2000043~regulation of cardiac cell fate specification,
SOX2	SRY-box 2(SOX2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001649~osteoblast differentiation,GO:0001654~eye development,GO:0001714~endodermal cell fate specification,GO:0006325~chromatin organization,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007050~cell cycle arrest,GO:0009611~response to wounding,GO:0010468~regulation of gene expression,GO:0021781~glial cell fate commitment,GO:0021983~pituitary gland development,GO:0021984~adenohypophysis development,GO:0022409~positive regulation of cell-cell adhesion,GO:0030900~forebrain development,GO:0035019~somatic stem cell population maintenance,GO:0042246~tissue regeneration,GO:0043281~regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043410~positive regulation of MAPK cascade,GO:0045597~positive regulation of cell differentiation,GO:0045665~negative regulation of neuron differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048839~inner ear development,GO:0050680~negative regulation of epithelial cell proliferation,GO:0070848~response to growth factor,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0097150~neuronal stem cell population maintenance,
SOX3	SRY-box 3(SOX3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0007417~central nervous system development,GO:0007423~sensory organ development,GO:0007530~sex determination,GO:0021854~hypothalamus development,GO:0021983~pituitary gland development,GO:0045665~negative regulation of neuron differentiation,GO:0048666~neuron development,GO:0060324~face development,
SOX4	SRY-box 4(SOX4)	Homo sapiens	GO:0001501~skeletal system development,GO:0001841~neural tube formation,GO:0002328~pro-B cell differentiation,GO:0003183~mitral valve morphogenesis,GO:0003211~cardiac ventricle formation,GO:0003215~cardiac right ventricle morphogenesis,GO:0003289~atrial septum primum morphogenesis,GO:0003357~noradrenergic neuron differentiation,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0007507~heart development,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0014009~glial cell proliferation,GO:0021510~spinal cord development,GO:0021522~spinal cord motor neuron differentiation,GO:0021782~glial cell development,GO:0030177~positive regulation of Wnt signaling pathway,GO:0030217~T cell differentiation,GO:0031018~endocrine pancreas development,GO:0031397~negative regulation of protein ubiquitination,GO:0031647~regulation of protein stability,GO:0032024~positive regulation of insulin secretion,GO:0035019~somatic stem cell population maintenance,GO:0035910~ascending aorta morphogenesis,GO:0042593~glucose homeostasis,GO:0042769~DNA damage response, detection of DNA damage,GO:0043065~positive regulation of apoptotic process,GO:0045727~positive regulation of translation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046826~negative regulation of protein export from nucleus,GO:0048485~sympathetic nervous system development,GO:0050821~protein stabilization,GO:0060070~canonical Wnt signaling pathway,GO:0060174~limb bud formation,GO:0060412~ventricular septum morphogenesis,GO:0060548~negative regulation of cell death,GO:0060563~neuroepithelial cell differentiation,GO:0060993~kidney morphogenesis,GO:0071333~cellular response to glucose stimulus,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:2000761~positive regulation of N-terminal peptidyl-lysine acetylation,
SOX9	SRY-box 9(SOX9)	Homo sapiens	GO:0001501~skeletal system development,GO:0001502~cartilage condensation,GO:0001503~ossification,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001708~cell fate specification,GO:0001837~epithelial to mesenchymal transition,GO:0001894~tissue homeostasis,GO:0001934~positive regulation of protein phosphorylation,GO:0001942~hair follicle development,GO:0002053~positive regulation of mesenchymal cell proliferation,GO:0002683~negative regulation of immune system process,GO:0003170~heart valve development,GO:0003179~heart valve morphogenesis,GO:0003188~heart valve formation,GO:0003203~endocardial cushion morphogenesis,GO:0003413~chondrocyte differentiation involved in endochondral bone morphogenesis,GO:0003415~chondrocyte hypertrophy,GO:0006334~nucleosome assembly,GO:0006338~chromatin remodeling,GO:0006366~transcription from RNA polymerase II promoter,GO:0006461~protein complex assembly,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007219~Notch signaling pathway,GO:0007283~spermatogenesis,GO:0008284~positive regulation of cell proliferation,GO:0008584~male gonad development,GO:0010564~regulation of cell cycle process,GO:0010634~positive regulation of epithelial cell migration,GO:0014032~neural crest cell development,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0016337~single organismal cell-cell adhesion,GO:0019100~male germ-line sex determination,GO:0019933~cAMP-mediated signaling,GO:0030155~regulation of cell adhesion,GO:0030198~extracellular matrix organization,GO:0030279~negative regulation of ossification,GO:0030502~negative regulation of bone mineralization,GO:0030850~prostate gland development,GO:0030857~negative regulation of epithelial cell differentiation,GO:0030858~positive regulation of epithelial cell differentiation,GO:0030879~mammary gland development,GO:0030903~notochord development,GO:0030916~otic vesicle formation,GO:0031018~endocrine pancreas development,GO:0032331~negative regulation of chondrocyte differentiation,GO:0032332~positive regulation of chondrocyte differentiation,GO:0032808~lacrimal gland development,GO:0034504~protein localization to nucleus,GO:0035019~somatic stem cell population maintenance,GO:0035622~intrahepatic bile duct development,GO:0042127~regulation of cell proliferation,GO:0042981~regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043491~protein kinase B signaling,GO:0045662~negative regulation of myoblast differentiation,GO:0045732~positive regulation of protein catabolic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046533~negative regulation of photoreceptor cell differentiation,GO:0048709~oligodendrocyte differentiation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0051216~cartilage development,GO:0060008~Sertoli cell differentiation,GO:0060009~Sertoli cell development,GO:0060018~astrocyte fate commitment,GO:0060041~retina development in camera-type eye,GO:0060174~limb bud formation,GO:0060221~retinal rod cell differentiation,GO:0060441~epithelial tube branching involved in lung morphogenesis,GO:0060487~lung epithelial cell differentiation,GO:0060517~epithelial cell proliferation involved in prostatic bud elongation,GO:0060532~bronchus cartilage development,GO:0060534~trachea cartilage development,GO:0060729~intestinal epithelial structure maintenance,GO:0060784~regulation of cell proliferation involved in tissue homeostasis,GO:0061036~positive regulation of cartilage development,GO:0061046~regulation of branching involved in lung morphogenesis,GO:0061138~morphogenesis of a branching epithelium,GO:0061145~lung smooth muscle development,GO:0070168~negative regulation of biomineral tissue development,GO:0070371~ERK1 and ERK2 cascade,GO:0070384~Harderian gland development,GO:0071260~cellular response to mechanical stimulus,GO:0071300~cellular response to retinoic acid,GO:0071347~cellular response to interleukin-1,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0071504~cellular response to heparin,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0072034~renal vesicle induction,GO:0072190~ureter urothelium development,GO:0072193~ureter smooth muscle cell differentiation,GO:0072197~ureter morphogenesis,GO:0072289~metanephric nephron tubule formation,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090103~cochlea morphogenesis,GO:0090184~positive regulation of kidney development,GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis,GO:1901203~positive regulation of extracellular matrix assembly,GO:1902894~negative regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:2000020~positive regulation of male gonad development,GO:2000138~positive regulation of cell proliferation involved in heart morphogenesis,GO:2000741~positive regulation of mesenchymal stem cell differentiation,GO:2000794~regulation of epithelial cell proliferation involved in lung morphogenesis,GO:2001054~negative regulation of mesenchymal cell apoptotic process,
ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1(ST8SIA1)	Homo sapiens	GO:0005975~carbohydrate metabolic process,GO:0006486~protein glycosylation,GO:0006688~glycosphingolipid biosynthetic process,GO:0008284~positive regulation of cell proliferation,GO:0034605~cellular response to heat,GO:0097503~sialylation,
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)	Homo sapiens	GO:0000183~chromatin silencing at rDNA,GO:0006302~double-strand break repair,GO:0006334~nucleosome assembly,GO:0006338~chromatin remodeling,GO:0006352~DNA-templated transcription, initiation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0016569~covalent chromatin modification,GO:0016584~nucleosome positioning,GO:0034080~CENP-A containing nucleosome assembly,GO:0043044~ATP-dependent chromatin remodeling,GO:0045815~positive regulation of gene expression, epigenetic,GO:0045893~positive regulation of transcription, DNA-templated,
SP1	Sp1 transcription factor(SP1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0007565~female pregnancy,GO:0016032~viral process,GO:0032869~cellular response to insulin stimulus,GO:0042795~snRNA transcription from RNA polymerase II promoter,GO:0043923~positive regulation by host of viral transcription,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048511~rhythmic process,GO:0100057~regulation of phenotypic switching by transcription from RNA polymerase II promoter,GO:1904828~positive regulation of hydrogen sulfide biosynthetic process,
SP7	Sp7 transcription factor(SP7)	Homo sapiens	GO:0001649~osteoblast differentiation,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060218~hematopoietic stem cell differentiation,GO:2000738~positive regulation of stem cell differentiation,
SPI1	Spi-1 proto-oncogene(SPI1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0002320~lymphoid progenitor cell differentiation,GO:0006366~transcription from RNA polymerase II promoter,GO:0030098~lymphocyte differentiation,GO:0030218~erythrocyte differentiation,GO:0030225~macrophage differentiation,GO:0030851~granulocyte differentiation,GO:0035019~somatic stem cell population maintenance,GO:0043011~myeloid dendritic cell differentiation,GO:0043966~histone H3 acetylation,GO:0044027~hypermethylation of CpG island,GO:0045347~negative regulation of MHC class II biosynthetic process,GO:0045646~regulation of erythrocyte differentiation,GO:0045814~negative regulation of gene expression, epigenetic,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060033~anatomical structure regression,GO:0071361~cellular response to ethanol,GO:0090241~negative regulation of histone H4 acetylation,GO:1902262~apoptotic process involved in patterning of blood vessels,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,
SPIB	Spi-B transcription factor(SPIB)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0030154~cell differentiation,
T	T brachyury transcription factor(T)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001570~vasculogenesis,GO:0001756~somitogenesis,GO:0001839~neural plate morphogenesis,GO:0001843~neural tube closure,GO:0003007~heart morphogenesis,GO:0003257~positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation,GO:0006351~transcription, DNA-templated,GO:0007165~signal transduction,GO:0007341~penetration of zona pellucida,GO:0007498~mesoderm development,GO:0007509~mesoderm migration involved in gastrulation,GO:0008284~positive regulation of cell proliferation,GO:0008595~anterior/posterior axis specification, embryo,GO:0014028~notochord formation,GO:0023019~signal transduction involved in regulation of gene expression,GO:0030509~BMP signaling pathway,GO:0036342~post-anal tail morphogenesis,GO:0048706~embryonic skeletal system development,GO:0060070~canonical Wnt signaling pathway,GO:0060349~bone morphogenesis,GO:0060395~SMAD protein signal transduction,GO:0061371~determination of heart left/right asymmetry,GO:0071300~cellular response to retinoic acid,GO:0090009~primitive streak formation,
